시군구명,읍면동명,계
강서구,가양제1동,34094
강서구,가양제2동,13673
강서구,가양제3동,14455
강서구,발산제1동,35922
강서구,우장산동,43687
강서구,공항동,30154
강서구,방화제1동,42484
강서구,방화제2동,22929
강서구,방화제3동,22294
구로구,신도림동,35749
구로구,구로제1동,20585
구로구,구로제2동,22916
구로구,구로제3동,23397
구로구,구로제4동,19080
구로구,구로제5동,29360
구로구,가리봉동,8961
구로구,고척제1동,25962
구로구,고척제2동,26029
구로구,개봉제1동,33373
구로구,개봉제2동,30131
구로구,개봉제3동,19855
구로구,오류제1동,22633
구로구,오류제2동,37745
구로구,수궁동,22915
구로구,항동,16408
금천구,가산동,24472
금천구,독산제1동,46237
금천구,독산제2동,18060
금천구,독산제3동,23935
금천구,독산제4동,14829
금천구,시흥제1동,32326
금천구,시흥제2동,20634
금천구,시흥제3동,10435
금천구,시흥제4동,19833
금천구,시흥제5동,18567
영등포구,영등포본동,20922
영등포구,영등포동,30293
영등포구,여의동,32500
영등포구,당산제1동,20826
영등포구,당산제2동,36745
영등포구,도림동,17726
영등포구,문래동,32202
영등포구,양평제1동,18299
영등포구,양평제2동,22451
영등포구,신길제1동,19426
영등포구,신길제3동,16272
영등포구,신길제4동,12334
영등포구,신길제5동,10172
영등포구,신길제6동,18635
영등포구,신길제7동,19808
영등포구,대림제1동,14030
영등포구,대림제2동,11922
영등포구,대림제3동,21860
동작구,노량진제1동,31878
동작구,노량진제2동,10523
동작구,상도제1동,44373
동작구,상도제2동,27668
동작구,상도제3동,24156
동작구,상도제4동,28103
동작구,흑석동,29211
동작구,사당제1동,22523
동작구,사당제2동,28348
동작구,사당제3동,23913
동작구,사당제4동,13924
동작구,사당제5동,14276
동작구,대방동,35941
동작구,신대방제1동,23373
동작구,신대방제2동,22175
관악구,보라매동,24179
관악구,청림동,14899
관악구,성현동,28535
관악구,행운동,29180
관악구,낙성대동,17464
관악구,청룡동,36145
관악구,은천동,32656
관악구,중앙동,15406
관악구,인헌동,25720
관악구,남현동,17895
관악구,서원동,22893
관악구,신원동,17866
관악구,서림동,23641
관악구,신사동,22721
관악구,신림동,23350
관악구,난향동,14848
관악구,조원동,19575
관악구,대학동,24468
관악구,삼성동,20318
관악구,미성동,29981
관악구,난곡동,25901
서초구,서초1동,20310
서초구,서초2동,26620
서초구,서초3동,32086
서초구,서초4동,30264
서초구,잠원동,26183
서초구,반포본동,266
서초구,반포1동,34195
서초구,반포2동,15635
서초구,반포3동,23813
서초구,반포4동,18684
서초구,방배본동,20485
서초구,방배1동,16652
서초구,방배2동,18277
서초구,방배3동,17055
서초구,방배4동,22999
서초구,양재1동,42236
서초구,양재2동,21441
서초구,내곡동,17338
강남구,신사동,15551
강남구,논현1동,21371
강남구,논현2동,20676
강남구,압구정동,25633
강남구,청담동,25124
강남구,삼성1동,12425
강남구,삼성2동,30624
강남구,대치1동,23721
강남구,대치2동,36841
강남구,대치4동,18881
강남구,역삼1동,34302
강남구,역삼2동,36935
강남구,도곡1동,20705
강남구,도곡2동,32619
강남구,개포1동,6890
강남구,개포2동,36103
강남구,개포3동,17109
강남구,개포4동,23457
강남구,세곡동,43954
강남구,일원본동,22842
강남구,일원1동,14708
강남구,수서동,14175
송파구,풍납1동,12179
송파구,풍납2동,24074
송파구,거여1동,12133
송파구,거여2동,23666
송파구,마천1동,18387
송파구,마천2동,17859
송파구,방이1동,15238
송파구,방이2동,25965
송파구,오륜동,17751
송파구,오금동,37664
송파구,송파1동,23535
송파구,송파2동,18722
